latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,footprint_dx,footprint_dy,footprint_nw_lat,footprint_nw_lon,footprint_ne_lat,footprint_ne_lon,footprint_se_lat,footprint_se_lon,footprint_sw_lat,footprint_sw_lon,footprint_area_km2,ee_elevation,ee_ndvi,ee_population_density,ee_landcover,ee_pdsi,ee_pr,ee_sph,ee_th,ee_tmmn,ee_tmmx,ee_vs,ee_erc
41.87376,-119.04726,337.68,0.53,0.42,2025-01-16,2112,N21,VIIRS,n,2.0NRT,288.72,25.96,D,2025-01-16 21:12:00,0.0022620121927638577,0.0016843334531081568,41.8754443334531,-119.04952201219275,41.8754443334531,-119.04499798780724,41.87207566654689,-119.04499798780724,41.87207566654689,-119.04952201219275,0.140625,1509,0.1663,0.0,20,-0.5600000023841858,0.0,0.0027000000700354576,151.0,269.8999938964844,283.0,2.299999952316284,28.0
41.87442,-119.04089,327.67,0.53,0.42,2025-01-16,2112,N21,VIIRS,n,2.0NRT,283.39,14.6,D,2025-01-16 21:12:00,0.002262035550793104,0.0016843334531081568,41.87610433345311,-119.0431520355508,41.87610433345311,-119.0386279644492,41.872735666546895,-119.0386279644492,41.872735666546895,-119.0431520355508,0.140625,1509,0.1663,0.0,20,-0.5600000023841858,0.0,0.0027000000700354576,151.0,269.8999938964844,283.0,2.299999952316284,28.0
41.88111,-123.38237,335.32,0.39,0.36,2025-01-16,2112,N21,VIIRS,n,2.0NRT,286.26,9.03,D,2025-01-16 21:12:00,0.0022622723604453884,0.0016843334531081568,41.882794333453106,-123.38463227236043,41.882794333453106,-123.38010772763955,41.879425666546894,-123.38010772763955,41.879425666546894,-123.38463227236043,0.140625,1123,0.3411,0.0,10,0.7699999809265137,0.0,0.0037499999161809683,99.0,278.5,286.3999938964844,3.5999999046325684,15.0
41.88377,-123.38773,330.36,0.39,0.36,2025-01-16,2112,N21,VIIRS,n,2.0NRT,284.89,3.22,D,2025-01-16 21:12:00,0.00226236654029306,0.0016843334531081568,41.885454333453104,-123.3899923665403,41.885454333453104,-123.38546763345971,41.88208566654689,-123.38546763345971,41.88208566654689,-123.3899923665403,0.140625,1124,0.3456,0.0,10,0.0,0.0,0.0035800000187009573,105.0,279.5,287.70001220703125,3.5999999046325684,19.0
39.61939,-119.2625,305.71,0.51,0.41,2025-01-17,930,N21,VIIRS,n,2.0NRT,271.36,2.06,N,2025-01-17 09:30:00,0.002186601270752132,0.0016843334531081568,39.62107433345311,-119.26468660127075,39.62107433345311,-119.26031339872925,39.6177056665469,-119.26031339872925,39.6177056665469,-119.26468660127075,0.140625,1270,0.09870000000000001,0.0,60,-2.5299999713897705,0.0,0.002589999930933118,154.0,266.0,285.8999938964844,1.0,36.0
40.07346,-123.8713,309.02,0.59,0.53,2025-01-17,930,N21,VIIRS,n,2.0NRT,277.16,2.84,N,2025-01-17 09:30:00,0.00220111098709093,0.0016843334531081568,40.0751443334531,-123.87350111098709,40.0751443334531,-123.86909888901292,40.07177566654689,-123.86909888901292,40.07177566654689,-123.87350111098709,0.140625,433,0.873,0.0,10,0.800000011920929,0.0,0.006000000052154064,100.0,274.20001220703125,287.6000061035156,1.899999976158142,6.0
40.07694,-123.87101,308.99,0.59,0.53,2025-01-17,930,N21,VIIRS,n,2.0NRT,276.63,3.04,N,2025-01-17 09:30:00,0.0022012234684389118,0.0016843334531081568,40.07862433345311,-123.87321122346843,40.07862433345311,-123.86880877653157,40.075255666546894,-123.86880877653157,40.075255666546894,-123.87321122346843,0.140625,435,0.7952,1.48440682888031,10,0.800000011920929,0.0,0.006000000052154064,100.0,274.20001220703125,287.6000061035156,1.899999976158142,6.0
40.32758,-121.07219,335.04,0.42,0.46,2025-01-17,930,N21,VIIRS,n,2.0NRT,267.47,4.91,N,2025-01-17 09:30:00,0.0022093765399132485,0.0016843334531081568,40.329264333453104,-121.07439937653992,40.329264333453104,-121.0699806234601,40.32589566654689,-121.0699806234601,40.32589566654689,-121.07439937653992,0.140625,1607,0.092,0.0,10,1.8799999952316284,0.0,0.0024399999529123306,94.0,266.1000061035156,282.70001220703125,2.299999952316284,28.0
40.8226,-114.25686,320.33,0.39,0.36,2025-01-17,930,N21,VIIRS,n,2.0NRT,271.61,2.7,N,2025-01-17 09:30:00,0.0022257836968163974,0.0016843334531081568,40.82428433345311,-114.25908578369682,40.82428433345311,-114.25463421630319,40.820915666546895,-114.25463421630319,40.820915666546895,-114.25908578369682,0.140625,1668,0.126,0.0,60,-2.609999895095825,0.0,0.002420000033453107,208.0,264.8999938964844,275.5,1.399999976158142,35.0
41.88201,-123.38925,324.49,0.58,0.52,2025-01-17,930,N21,VIIRS,n,2.0NRT,274.86,3.6,N,2025-01-17 09:30:00,0.0022623042243838784,0.0016843334531081568,41.88369433345311,-123.39151230422439,41.88369433345311,-123.38698769577562,41.880325666546895,-123.38698769577562,41.880325666546895,-123.39151230422439,0.140625,897,0.387,0.19564257562160492,10,0.0,0.699999988079071,0.003719999920576811,84.0,277.3999938964844,286.6000061035156,1.5,11.0
